,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
192313,2008,1,28,1,833.0,825,1122.0,1118,NW,282,N506US,109.0,113.0,90.0,4.0,8.0,MEM,DTW,610,8.0,11.0,0,N,0,,,,,
139043,2008,7,27,7,1905.0,1815,1955.0,1910,MQ,3497,N842AE,50.0,55.0,32.0,45.0,50.0,DFW,SHV,190,4.0,14.0,0,N,0,8.0,0.0,0.0,0.0,37.0
28582,2008,10,8,3,1725.0,1550,2034.0,1847,OH,6779,N924CA,189.0,177.0,131.0,107.0,95.0,LGA,JAX,834,6.0,52.0,0,N,0,0.0,0.0,12.0,0.0,95.0
157571,2008,8,4,1,1836.0,1825,2141.0,2140,WN,618,N750SA,125.0,135.0,113.0,1.0,11.0,SMF,DEN,910,6.0,6.0,0,N,0,,,,,
166602,2008,1,17,4,1614.0,1555,1718.0,1712,XE,2818,N14991,64.0,77.0,49.0,6.0,19.0,IAH,JAN,351,4.0,11.0,0,N,0,,,,,
198999,2008,3,13,4,714.0,705,815.0,810,AA,1225,N477AA,61.0,65.0,42.0,5.0,9.0,TUL,DFW,237,10.0,9.0,0,N,0,,,,,
40083,2008,3,16,7,1508.0,1415,1626.0,1540,WN,654,N511SW,78.0,85.0,54.0,46.0,53.0,SFO,LAX,337,6.0,18.0,0,N,0,4.0,0.0,0.0,0.0,42.0
88498,2008,1,28,1,1217.0,1130,1433.0,1405,AA,1843,N4YBAA,256.0,275.0,238.0,28.0,47.0,ORD,SEA,1721,5.0,13.0,0,N,0,5.0,0.0,0.0,0.0,23.0
76965,2008,7,8,2,1546.0,1511,1827.0,1808,UA,768,N369UA,101.0,117.0,88.0,19.0,35.0,TUS,DEN,639,7.0,6.0,0,N,0,0.0,0.0,18.0,0.0,1.0
16289,2008,5,12,1,1850.0,1710,2045.0,1900,MQ,4918,N704PG,115.0,110.0,86.0,105.0,100.0,CMH,LGA,478,10.0,19.0,0,N,0,93.0,0.0,5.0,0.0,7.0
171791,2008,5,11,7,1912.0,1900,2203.0,2123,UA,277,N506UA,351.0,323.0,320.0,40.0,12.0,MCO,LAX,2217,17.0,14.0,0,N,0,7.0,0.0,28.0,0.0,5.0
182082,2008,12,11,4,2215.0,2010,54.0,2255,US,311,N664AW,279.0,285.0,248.0,119.0,125.0,CLT,PHX,1774,5.0,26.0,0,N,0,0.0,0.0,0.0,0.0,119.0
85295,2008,12,19,5,1505.0,1425,1536.0,1450,WN,3841,N453WN,91.0,85.0,79.0,46.0,40.0,PHX,BUR,369,4.0,8.0,0,N,0,11.0,0.0,6.0,0.0,29.0
28552,2008,3,29,6,1819.0,1754,2032.0,1924,FL,862,N988AT,133.0,90.0,90.0,68.0,25.0,MCO,ATL,403,14.0,29.0,0,N,0,25.0,0.0,43.0,0.0,0.0
121756,2008,5,6,2,858.0,840,1400.0,1355,WN,1678,N209WN,182.0,195.0,170.0,5.0,18.0,PHX,MDW,1444,4.0,8.0,0,N,0,,,,,
44371,2008,12,20,6,2357.0,2230,257.0,132,YV,2910,N939LR,120.0,122.0,105.0,85.0,87.0,PHX,SAT,843,5.0,10.0,0,N,0,85.0,0.0,0.0,0.0,0.0
108520,2008,12,17,3,925.0,902,1032.0,927,NW,1237,N779NC,127.0,85.0,53.0,65.0,23.0,DTW,ORD,235,14.0,60.0,0,N,0,23.0,0.0,42.0,0.0,0.0
68120,2008,7,16,3,1739.0,1725,2217.0,2205,XE,32,N16178,158.0,160.0,145.0,12.0,14.0,ONT,OKC,1140,4.0,9.0,0,N,0,,,,,
508,2008,6,27,5,1002.0,950,1353.0,1350,AA,459,N5FGAA,171.0,180.0,148.0,3.0,12.0,ORD,MIA,1197,8.0,15.0,0,N,0,,,,,
90777,2008,2,28,4,1031.0,1015,1211.0,1206,EV,4806,N903EV,100.0,111.0,83.0,5.0,16.0,ATL,SBN,566,3.0,14.0,0,N,0,,,,,
100658,2008,8,12,2,1928.0,1820,2221.0,2111,B6,144,N284JB,173.0,171.0,144.0,70.0,68.0,PBI,JFK,1028,13.0,16.0,0,N,0,0.0,0.0,32.0,0.0,38.0
105687,2008,2,14,4,1321.0,1312,1432.0,1427,FL,295,N961AT,71.0,75.0,58.0,5.0,9.0,ATL,DAB,366,5.0,8.0,0,N,0,,,,,
79098,2008,12,15,1,2138.0,2130,2319.0,2314,DL,1928,N624DL,101.0,104.0,79.0,5.0,8.0,ATL,PBI,545,4.0,18.0,0,N,0,,,,,
138445,2008,5,3,6,26.0,2345,302.0,223,AS,121,N765AS,216.0,218.0,199.0,39.0,41.0,SEA,ANC,1449,5.0,12.0,0,N,0,39.0,0.0,0.0,0.0,0.0
74644,2008,10,31,5,2208.0,2155,2319.0,2310,WN,835,N424WN,71.0,75.0,59.0,9.0,13.0,LAX,SFO,337,3.0,9.0,0,N,0,,,,,
99287,2008,6,14,6,1417.0,1350,1502.0,1447,DL,1127,N905DA,105.0,117.0,86.0,15.0,27.0,SLC,LAX,590,6.0,13.0,0,N,0,11.0,0.0,0.0,0.0,4.0
58533,2008,8,28,4,1956.0,1945,59.0,55,WN,713,N228WN,183.0,190.0,167.0,4.0,11.0,LAX,MCI,1363,5.0,11.0,0,N,0,,,,,
156127,2008,2,12,2,2008.0,1930,2333.0,2317,OO,4054,N368CA,145.0,167.0,130.0,16.0,38.0,SLC,STL,1156,3.0,12.0,0,N,0,16.0,0.0,0.0,0.0,0.0
130395,2008,11,6,4,1535.0,1528,1646.0,1650,EV,5363,N936EV,71.0,82.0,54.0,-4.0,7.0,ATL,ILM,377,2.0,15.0,0,N,0,,,,,
